scenario,replicate,family,mask,cardinality,reference_value,planning_value
moderate,2,operational,30,4,2.393004333012006,2.394638214266416
moderate,2,operational,31,5,2.5718726547934114,2.573465778624474
moderate,2,operational,32,1,0.36816243814650473,0.3696331856661699
moderate,2,operational,33,2,2.3922242890510175,2.3922201049979464
moderate,2,operational,34,2,2.164453888711767,2.1633508690113765
moderate,2,operational,35,3,2.566775356782564,2.5693742062439586
moderate,2,operational,36,2,0.48304736366209067,0.4892749670318395
moderate,2,operational,37,3,2.3922242905987403,2.3922201065436486
moderate,2,operational,38,3,2.2173565988280197,2.217233645474833
moderate,2,operational,39,4,2.566776261448539,2.5693750910670032
moderate,2,operational,40,2,0.3681624381449202,0.369633185663095
moderate,2,operational,41,3,2.3922242917491507,2.3922201076927356
moderate,2,operational,42,3,2.1644538887117664,2.163350869011376
moderate,2,operational,43,4,2.5667761085251177,2.569374943067099
moderate,2,operational,44,3,0.48304736368161016,0.48927496705743945
moderate,2,operational,45,4,2.392224290534805,2.392220106479797
moderate,2,operational,46,4,2.21735659878611,2.2172336454308237
moderate,2,operational,47,5,2.5667759069402147,2.5693747448277238
moderate,2,operational,48,2,2.3309421738576326,2.3309421738576326
moderate,2,operational,49,3,2.5656169855847244,2.5657954333790842
moderate,2,operational,50,3,2.5564017638739944,2.557600512266963
moderate,2,operational,51,4,2.7176445090079153,2.717952070094068
moderate,2,operational,52,3,2.242337520594958,2.242337520594958
moderate,2,operational,53,4,2.480509668316521,2.47970038102512
moderate,2,operational,54,4,2.447760532854541,2.449320643156333
moderate,2,operational,55,5,2.6167325356108337,2.618088449075197
moderate,2,operational,56,3,2.330943273777139,2.330943273777139
moderate,2,operational,57,4,2.5655437752611787,2.5657221732754727
moderate,2,operational,58,4,2.5564016866926953,2.5576004346097596
moderate,2,operational,59,5,2.7178911539559905,2.718197329236219
moderate,2,operational,60,4,2.242338982788464,2.242338982788464
moderate,2,operational,61,5,2.4805011827501557,2.4796918443992197
moderate,2,operational,62,5,2.447771519308998,2.449331569215154
moderate,2,operational,63,6,2.6167190290617395,2.6180750480701835
moderate,2,retained_certificates,0,0,0.0,0.0
moderate,2,retained_certificates,1,1,1.822025978972932,1.822025978972932
moderate,2,retained_certificates,2,1,2.02378194375552,2.02378194375552
moderate,2,retained_certificates,3,2,2.2458898881482545,2.234002915205743
moderate,2,retained_certificates,4,1,0.0,0.0
moderate,2,retained_certificates,5,2,1.822025978972932,1.822025978972932
moderate,2,retained_certificates,6,2,2.02378194375552,2.02378194375552
moderate,2,retained_certificates,7,3,2.2458898881482545,2.234002915205743
moderate,2,retained_certificates,8,1,0.0,0.0
moderate,2,retained_certificates,9,2,1.822025978972932,1.822025978972932
moderate,2,retained_certificates,10,2,2.02378194375552,2.02378194375552
moderate,2,retained_certificates,11,3,2.2458898881482545,2.234002915205743
moderate,2,retained_certificates,12,2,0.0,0.0
moderate,2,retained_certificates,13,3,1.822025978972932,1.822025978972932
moderate,2,retained_certificates,14,3,2.02378194375552,2.02378194375552
moderate,2,retained_certificates,15,4,2.2458898881482545,2.234002915205743
moderate,2,retained_certificates,16,1,0.32269891888298563,0.32547701553823494
moderate,2,retained_certificates,17,2,1.822025978972932,1.822025978972932
moderate,2,retained_certificates,18,2,2.02378194375552,2.02378194375552
moderate,2,retained_certificates,19,3,2.2458898881482545,2.234002915205743
moderate,2,retained_certificates,20,2,0.32269891888298563,0.32547701553823494
moderate,2,retained_certificates,21,3,1.822025978972932,1.822025978972932
moderate,2,retained_certificates,22,3,2.02378194375552,2.02378194375552
moderate,2,retained_certificates,23,4,2.2458898881482545,2.234002915205743
moderate,2,retained_certificates,24,2,0.32269891888298563,0.32547701553823494
moderate,2,retained_certificates,25,3,1.822025978972932,1.822025978972932
moderate,2,retained_certificates,26,3,2.02378194375552,2.02378194375552
moderate,2,retained_certificates,27,4,2.2458898881482545,2.234002915205743
moderate,2,retained_certificates,28,3,0.32269891888298563,0.32547701553823494
moderate,2,retained_certificates,29,4,1.822025978972932,1.822025978972932
moderate,2,retained_certificates,30,4,2.02378194375552,2.02378194375552
moderate,2,retained_certificates,31,5,2.2458898881482545,2.234002915205743
moderate,2,retained_certificates,32,1,0.3587881815788361,0.36053727782060463
moderate,2,retained_certificates,33,2,1.8220519687577283,1.822025978972932
moderate,2,retained_certificates,34,2,2.02378194375552,2.02378194375552
moderate,2,retained_certificates,35,3,2.2458898881482545,2.234002915205743
moderate,2,retained_certificates,36,2,0.3587881815788361,0.36053727782060463
moderate,2,retained_certificates,37,3,1.8220519687577283,1.822025978972932
moderate,2,retained_certificates,38,3,2.02378194375552,2.02378194375552
moderate,2,retained_certificates,39,4,2.2458898881482545,2.234002915205743
moderate,2,retained_certificates,40,2,0.3587881815788361,0.36053727782060463
moderate,2,retained_certificates,41,3,1.8220519687577283,1.822025978972932
moderate,2,retained_certificates,42,3,2.02378194375552,2.02378194375552
moderate,2,retained_certificates,43,4,2.2458898881482545,2.234002915205743
moderate,2,retained_certificates,44,3,0.3587881815788361,0.36053727782060463
moderate,2,retained_certificates,45,4,1.8220519687577283,1.822025978972932
moderate,2,retained_certificates,46,4,2.02378194375552,2.02378194375552
moderate,2,retained_certificates,47,5,2.2458898881482545,2.234002915205743
moderate,2,retained_certificates,48,2,0.46828497934303304,0.47704926543089865
moderate,2,retained_certificates,49,3,1.8220519687577283,1.822025978972932
moderate,2,retained_certificates,50,3,2.02378194375552,2.02378194375552
moderate,2,retained_certificates,51,4,2.2458898881482545,2.234002915205743
moderate,2,retained_certificates,52,3,0.46828497934303304,0.47704926543089865
moderate,2,retained_certificates,53,4,1.8220519687577283,1.822025978972932
moderate,2,retained_certificates,54,4,2.02378194375552,2.02378194375552
