surface,replicate,seed,method,target,estimate,released,lower,upper,data_access,truth,absolute_error,covered
constant,97,3951308177,semantic_forced,1,1.588817631547418,True,0.5294678237186181,2.648167439376218,archive_summaries,2.0,0.41118236845258194,True
constant,97,3951308177,ivw_meta,1,1.6369821070513786,True,,,archive_summaries,2.0,0.3630178929486214,
constant,97,3951308177,random_effects_meta,1,1.6369821070513786,True,,,archive_summaries,2.0,0.3630178929486214,
constant,97,3951308177,full_nearest,1,2.6950376416220068,True,,,archive_summaries,2.0,0.6950376416220068,
constant,97,3951308177,ridge_meta_regression,1,2.6863784241774025,True,,,archive_summaries,2.0,0.6863784241774025,
constant,97,3951308177,rbf_kernel_ridge,1,2.116816374667959,True,,,archive_summaries,2.0,0.11681637466795891,
constant,97,3951308177,unit_ridge_t_learner,1,1.7903754249477737,True,,,source_individuals,2.0,0.20962457505222631,
constant,97,3951308177,atlas,2,2.1883275445304724,False,-2.5077691652580754,6.88442425431902,archive_summaries,2.0,0.1883275445304724,True
constant,97,3951308177,atlas_no_rejection,2,2.1883275445304724,True,-1.6465188561881332,6.023173945249078,archive_summaries,2.0,0.1883275445304724,True
constant,97,3951308177,semantic_forced,2,1.3782568634395376,True,0.13217998269747389,2.6243337441816013,archive_summaries,2.0,0.6217431365604624,True
constant,97,3951308177,ivw_meta,2,1.6369821070513786,True,,,archive_summaries,2.0,0.3630178929486214,
constant,97,3951308177,random_effects_meta,2,1.6369821070513786,True,,,archive_summaries,2.0,0.3630178929486214,
constant,97,3951308177,full_nearest,2,2.6950376416220068,True,,,archive_summaries,2.0,0.6950376416220068,
constant,97,3951308177,ridge_meta_regression,2,2.558472728379937,True,,,archive_summaries,2.0,0.5584727283799369,
constant,97,3951308177,rbf_kernel_ridge,2,1.5038692280784034,True,,,archive_summaries,2.0,0.4961307719215966,
constant,97,3951308177,unit_ridge_t_learner,2,1.5987830015273201,True,,,source_individuals,2.0,0.4012169984726799,
constant,97,3951308177,atlas,3,1.4927383025749115,True,-1.394503889985479,4.379980495135301,archive_summaries,2.0,0.5072616974250885,True
constant,97,3951308177,atlas_no_rejection,3,1.4927383025749115,True,-0.9004200297876479,3.885896634937471,archive_summaries,2.0,0.5072616974250885,True
constant,97,3951308177,semantic_forced,3,1.5129301615185815,True,0.5118193712129946,2.5140409518241684,archive_summaries,2.0,0.4870698384814185,True
constant,97,3951308177,ivw_meta,3,1.6369821070513786,True,,,archive_summaries,2.0,0.3630178929486214,
constant,97,3951308177,random_effects_meta,3,1.6369821070513786,True,,,archive_summaries,2.0,0.3630178929486214,
constant,97,3951308177,full_nearest,3,0.28311810814407723,True,,,archive_summaries,2.0,1.7168818918559228,
constant,97,3951308177,ridge_meta_regression,3,2.136593483953628,True,,,archive_summaries,2.0,0.1365934839536278,
