scenario,replicate,family,budget,reference_draws,planning_draws,valid,reason,gamma,monotone,monotonicity_violations,epsilon,optimum,selected_value,lower_bound,bound_holds,vacuous
moderate,11,operational,2,2048,128,True,assumption_failed,-0.6406460924159257,False,34,0.014113243212018567,1.2527895101345745,1.2527895101345745,,,
moderate,11,operational,3,2048,128,True,assumption_failed,-0.6406460924159257,False,34,0.014113243212018567,1.335224036075319,1.3330430643460383,,,
moderate,11,retained_certificates,1,2048,128,True,eligible,1.0,True,0,0.006254638522600331,1.1551162788013056,1.1551162788013056,0.7176634706226447,True,False
moderate,11,retained_certificates,2,2048,128,True,eligible,1.0,True,0,0.006254638522600331,1.2365582394540624,1.2365582394540624,0.756635331257358,True,False
moderate,11,retained_certificates,3,2048,128,True,eligible,1.0,True,0,0.006254638522600331,1.2365582394540624,1.2365582394540624,0.7441260542121574,True,False
severe,0,operational,1,2048,128,True,assumption_failed,-29.65556777861741,False,27,0.009544460755681605,4.63752453647816,4.63752453647816,,,
severe,0,operational,2,2048,128,True,assumption_failed,-29.65556777861741,False,27,0.009544460755681605,5.242903695636118,5.242903695636118,,,
severe,0,operational,3,2048,128,True,assumption_failed,-29.65556777861741,False,27,0.009544460755681605,5.242903695636118,5.242903695636104,,,
severe,0,retained_certificates,1,2048,128,True,eligible,1.0,True,0,0.010741914980052059,4.626249196081487,4.626249196081487,2.9028633971470907,True,False
severe,0,retained_certificates,2,2048,128,True,eligible,1.0,True,0,0.010741914980052059,4.668532702158406,4.668532702158406,2.90810784067756,True,False
severe,0,retained_certificates,3,2048,128,True,eligible,1.0,True,0,0.010741914980052059,4.668598550092278,4.668532702158406,2.886665634550212,True,False
severe,1,operational,1,2048,128,True,assumption_failed,-7.909735209870415,False,42,0.0037762536918912737,3.4445805396978204,3.4445805396978204,,,
severe,1,operational,2,2048,128,True,assumption_failed,-7.909735209870415,False,42,0.0037762536918912737,4.00184581780361,4.00184581780361,,,
severe,1,operational,3,2048,128,True,assumption_failed,-7.909735209870415,False,42,0.0037762536918912737,4.303417995472802,4.303417995472802,,,
severe,1,retained_certificates,1,2048,128,True,eligible,1.0,True,0,0.008924808755442548,3.368510960133806,3.368510960133806,2.1114554130290175,True,False
severe,1,retained_certificates,2,2048,128,True,eligible,1.0,True,0,0.008924808755442548,3.546002182254276,3.546002182254276,2.205801646032088,True,False
severe,1,retained_certificates,3,2048,128,True,eligible,1.0,True,0,0.008924808755442548,3.54675088291793,3.54675088291793,2.188425297603107,True,False
severe,2,operational,1,2048,128,True,assumption_failed,-0.7295311878493431,False,14,0.01163415297562942,2.9831198581450433,2.9831198581450433,,,
severe,2,operational,2,2048,128,True,assumption_failed,-0.7295311878493431,False,14,0.01163415297562942,3.5552600802994125,3.5552600802994125,,,
severe,2,operational,3,2048,128,True,assumption_failed,-0.7295311878493431,False,14,0.01163415297562942,3.5552600805832975,3.5552600805832975,,,
severe,2,retained_certificates,1,2048,128,True,eligible,1.0,True,0,0.02157592509871975,2.9707036009242707,2.9707036009242707,1.8346909701328191,True,False
severe,2,retained_certificates,2,2048,128,True,eligible,1.0,True,0,0.02157592509871975,3.2387746657249785,3.2387746657249785,1.9609923512229694,True,False
severe,2,retained_certificates,3,2048,128,True,eligible,1.0,True,0,0.02157592509871975,3.2387746657249785,3.2387746657249785,1.91784050102553,True,False
severe,3,operational,1,2048,128,True,assumption_failed,-0.15450609727389633,False,14,0.008030489541306807,4.370003864568389,4.370003864568389,,,
severe,3,operational,2,2048,128,True,assumption_failed,-0.15450609727389633,False,14,0.008030489541306807,4.967008443562937,4.967008443562937,,,
severe,3,operational,3,2048,128,True,assumption_failed,-0.15450609727389633,False,14,0.008030489541306807,5.065334565421599,5.04054581792319,,,
severe,3,retained_certificates,1,2048,128,True,eligible,1.0,True,0,0.01594632783106853,4.371050073649715,4.371050073649715,2.731137959560929,True,False
severe,3,retained_certificates,2,2048,128,True,eligible,1.0,True,0,0.01594632783106853,4.778243486091915,4.778243486091915,2.956640631323063,True,False
severe,3,retained_certificates,3,2048,128,True,eligible,1.0,True,0,0.01594632783106853,4.778296941011991,4.778243486091915,2.9247817656148762,True,False
severe,4,operational,1,2048,128,True,assumption_failed,-5.015382411427577,False,23,0.004243548713050771,4.999662261692343,4.999662261692343,,,
severe,4,operational,2,2048,128,True,assumption_failed,-5.015382411427577,False,23,0.004243548713050771,5.605041420850743,5.605041420850743,,,
severe,4,operational,3,2048,128,True,assumption_failed,-5.015382411427577,False,23,0.004243548713050771,5.626809287169737,5.605041420850501,,,
severe,4,retained_certificates,1,2048,128,True,eligible,1.0,True,0,0.004747536009988451,4.988512789903622,4.988512789903622,3.1438464204573076,True,False
severe,4,retained_certificates,2,2048,128,True,eligible,1.0,True,0,0.004747536009988451,5.030891468575443,5.030891468575443,3.1611397824817784,True,False
severe,4,retained_certificates,3,2048,128,True,eligible,1.0,True,0,0.004747536009988451,5.030916225514478,5.030916225514478,3.151660359831939,True,False
severe,5,operational,1,2048,128,True,assumption_failed,-1.706112422894365,False,16,0.004184260096023351,5.1013821486585265,5.1013821486585265,,,
severe,5,operational,2,2048,128,True,assumption_failed,-1.706112422894365,False,16,0.004184260096023351,5.673756798989783,5.673756798989783,,,
severe,5,operational,3,2048,128,True,assumption_failed,-1.706112422894365,False,16,0.004184260096023351,5.699261087095232,5.699261087095232,,,
