scenario,replicate,family,budget,reference_draws,planning_draws,valid,reason,gamma,monotone,monotonicity_violations,epsilon,optimum,selected_value,lower_bound,bound_holds,vacuous
severe,10,operational,2,2048,128,True,assumption_failed,-0.39281809550081875,False,18,0.0069281539457586305,3.4975770130177555,3.4975770130177555,,,
severe,10,operational,3,2048,128,True,assumption_failed,-0.39281809550081875,False,18,0.0069281539457586305,3.5502386940276773,3.5502386940276773,,,
severe,10,retained_certificates,1,2048,128,True,eligible,1.0,True,0,0.02265426447320351,2.649929750304998,2.649929750304998,1.6297665456728085,True,False
severe,10,retained_certificates,2,2048,128,True,eligible,1.0,True,0,0.02265426447320351,2.84856004939504,2.84856004939504,1.7100163123874825,True,False
severe,10,retained_certificates,3,2048,128,True,eligible,1.0,True,0,0.02265426447320351,2.853026744528,2.853026744528,1.667531273264639,True,False
severe,11,operational,1,2048,128,True,assumption_failed,-1.8952070604218585,False,36,0.0068575218962765305,2.9686265745826734,2.9686265745826734,,,
severe,11,operational,2,2048,128,True,assumption_failed,-1.8952070604218585,False,36,0.0068575218962765305,3.5749122688721156,3.5749122688721156,,,
severe,11,operational,3,2048,128,True,assumption_failed,-1.8952070604218585,False,36,0.0068575218962765305,3.685006888797391,3.5749122688728194,,,
severe,11,retained_certificates,1,2048,128,True,eligible,1.0,True,0,0.01637879565251721,2.9566944836712015,2.9566944836712015,1.8362297779985193,True,False
severe,11,retained_certificates,2,2048,128,True,eligible,1.0,True,0,0.01637879565251721,3.275171310614276,3.275171310614276,2.004787936514687,True,False
severe,11,retained_certificates,3,2048,128,True,eligible,1.0,True,0,0.01637879565251721,3.275171310614276,3.275171310614276,1.9720303452096526,True,False
