object_id,pc1,pc2,atlas_holdout_evaluations,atlas_acceptance_rate
local_071,0.14989191574478114,5.863523796772882,11,0.36363636363636365
local_072,1.1264406989267994,-0.223240391649185,15,1.0
local_073,1.7612502746702892,-1.364461686143103,12,1.0
local_074,-1.7515999553522472,0.13597084090370462,14,1.0
local_075,1.4914246148630037,-0.541251399832422,16,0.875
local_076,-1.293898297110151,-0.27765386800014663,10,1.0
local_077,-2.081040686945717,-0.5564691827344194,16,1.0
local_078,0.4242161442736185,-0.7321754487660358,10,1.0
local_079,-1.8328065818392545,-0.2700102607673158,12,1.0
local_080,-0.6659324516941341,-0.020071403745315682,17,1.0
local_081,1.6393305439393169,-1.4781635232978165,12,0.9166666666666666
local_082,-1.2012931476708681,-0.0501126281066171,13,1.0
local_083,-1.628111746918159,-0.7325324076119535,11,0.7272727272727273
local_084,1.1679639592263458,5.8921249747384365,11,0.8181818181818182
local_085,-0.5055954646049663,0.8783966215136226,10,1.0
local_086,-0.5185858308727754,-0.2005063301888428,14,1.0
local_087,-1.7032908164160323,-0.2017911341778647,16,1.0
local_088,1.7561590985223667,-0.1731114805702994,15,0.4666666666666667
local_089,-1.225996736343755,-0.48676905411777177,11,1.0
local_090,-0.564803951377932,-0.09243354603543363,20,1.0
local_091,0.5468080006823893,-0.6441214219069032,14,1.0
local_092,-0.7421234022779064,-0.7123199860947216,10,0.5
local_093,-2.177327765131337,-0.5513069535987809,11,1.0
local_094,-0.16964130627183818,0.9132649099129715,13,0.9230769230769231
local_095,0.5518387651792833,-0.197765499937733,19,1.0
local_096,-0.969563804472342,0.9185705315751015,15,1.0
local_097,2.0222156176579307,-0.2873212748900855,14,0.0
local_098,1.34386354731387,-0.6672217875389314,18,1.0
local_099,-2.7991976070301092,-0.03771030219619101,10,1.0
local_100,-1.5767446882047362,-0.7003605127292428,15,1.0
local_101,1.8305233435228436,-1.167104312310491,13,0.6923076923076923
local_102,-1.4997920610953346,-0.7446341657666257,11,0.9090909090909091
local_103,0.1651033041200809,-0.3750748868098575,14,1.0
local_104,1.0458354553515201,-0.3360919135789393,18,0.7222222222222222
local_105,-1.2512087995314978,-0.7427184341516534,13,0.6923076923076923
local_106,-1.3239915478793631,-0.5292951908402975,6,1.0
local_107,-0.5590376450883418,-0.3237305325415634,19,1.0
local_108,0.9604770654395144,-1.5469973742509093,18,0.7222222222222222
local_109,1.3181211774554507,-0.08498166714027108,16,0.875
local_110,-2.5350017144439247,-0.08821317424906,17,1.0
local_111,0.391438721884527,-0.5187723499295654,14,1.0
