scenario_key,scenario_label,estimator_key,repetitions,seed_batches,accepted_repetitions,acceptance_rate,acceptance_ci_lower,acceptance_ci_upper,rejection_rate,accepted_mae,accepted_mae_mc_se,accepted_rmse,accepted_bias,accepted_sign_accuracy,interval_coverage,mean_interval_width,mean_certificate_radius,between_seed_acceptance_sd,between_seed_mae_sd
sample_size_100,small experiments,atlas_top4_candidates,300,3,52,0.17333333333333334,0.13469996727082598,0.22022707366102798,0.8266666666666667,0.16104317633167214,0.014686620700485976,0.19218595903601063,-0.0678657731942957,0.9038461538461539,1.0,3.8682994892032,2.026996105291262,0.058594652770823145,0.03674647414354953
sample_size_100,small experiments,semantic_forced,300,3,300,1.0,0.9873565700022643,1.0,0.0,0.2319201306114346,0.010046032418687663,0.28976344562878287,-0.14323251212172294,0.83,1.0,4.61362077721441,2.364186640751791,0.0,0.018601373644137397
sample_size_100,small experiments,nearest_semantic,300,3,300,1.0,0.9873565700022643,1.0,0.0,0.5231761888745777,0.021407272239039665,0.6408872324485166,-0.038008220597238844,0.76,1.0,5.155314592407284,2.7279335923117847,0.0,0.03267926314352585
sample_size_100,small experiments,global_mean,300,3,300,1.0,0.9873565700022643,1.0,0.0,0.2821631334416917,0.013568662956851652,0.3669666328022055,-0.1592297647920842,0.7633333333333333,1.0,5.36343531086705,2.735228347204987,0.0,0.03319697777752098
sample_size_1000,large experiments,atlas,300,3,150,0.5,0.4437784961119509,0.556221503888049,0.5,0.1126928308165349,0.006296756875920412,0.1364089331512323,-0.09693124017607715,0.94,1.0,3.271465856917389,1.6561848119712386,0.05291502622129183,0.0028500468271857745
sample_size_1000,large experiments,atlas_no_rejection,300,3,300,1.0,0.9873565700022643,1.0,0.0,0.13892244800171274,0.005314813183078993,0.16656941817430543,-0.12362625917321718,0.9033333333333333,1.0,3.271465856917389,1.6561848119712386,0.0,0.0033802564264920187
sample_size_1000,large experiments,atlas_no_variance_penalty,300,3,148,0.49333333333333335,0.4372010534770382,0.549634192256265,0.5066666666666667,0.11240872838149028,0.006422805635211078,0.1367473208286562,-0.09614277875711233,0.9324324324324325,1.0,3.276715454940029,1.6589425789638563,0.047258156262526094,0.003464261242986776
sample_size_1000,large experiments,atlas_top4_candidates,300,3,119,0.39666666666666667,0.342949880504215,0.45299642836198367,0.6033333333333334,0.13358488144748173,0.009124119070501892,0.1663381114213935,-0.07808206022587272,0.8907563025210085,1.0,3.5374596710279973,1.7988262760268952,0.07571877794400365,0.010966186900501456
sample_size_1000,large experiments,semantic_forced,300,3,300,1.0,0.9873565700022643,1.0,0.0,0.22380064226456553,0.010096285766114077,0.2838402515026231,-0.13541688053713147,0.82,1.0,4.4026530591588475,2.219443950500556,0.0,0.020937603334145474
sample_size_1000,large experiments,nearest_semantic,300,3,300,1.0,0.9873565700022643,1.0,0.0,0.46260887202435724,0.019061098112947334,0.5680152122925918,-0.050078311460641865,0.7533333333333333,1.0,4.625136889865905,2.3604148348133065,0.0,0.0176159165153069
sample_size_1000,large experiments,global_mean,300,3,300,1.0,0.9873565700022643,1.0,0.0,0.2801243009745951,0.013343069553730628,0.36290885636216963,-0.15298587458543242,0.7733333333333333,1.0,5.1573422592352545,2.5955795239803567,0.0,0.03115994145910827
