method,seed_batch,replicate,split_seed,target_object_id,heldout_local_contrast,reconstructed_contrast,signed_reconstruction_error,absolute_reconstruction_error,accepted,interval_lower,interval_upper,interval_includes_reference,certificate_radius
semantic_forced,0,9,820128927,local_059,-0.41983662442111847,0.04351041652483987,0.46334704094595835,0.46334704094595835,True,-1.0990697767128939,1.1860906097625736,True,1.1425801932377337
nearest_semantic,0,9,820128927,local_059,-0.41983662442111847,-0.3145730268546387,0.10526359756647974,0.10526359756647974,True,-3.8099649274508325,3.180818873741555,True,3.4953919005961938
global_mean,0,9,820128927,local_059,-0.41983662442111847,1.6117296364640519,2.03156626088517,2.03156626088517,True,0.5801119888645812,2.6433472840635224,False,1.0316176475994707
atlas,0,9,820128927,local_064,1.0780569239524018,-1.0492513369092058,-2.1273082608616076,2.1273082608616076,True,-3.2516137055845795,1.153111031766168,True,2.2023623686753737
atlas_no_rejection,0,9,820128927,local_064,1.0780569239524018,-1.0492513369092058,-2.1273082608616076,2.1273082608616076,True,-3.1189393503267673,1.0204366765083557,False,2.0696880134175615
semantic_forced,0,9,820128927,local_064,1.0780569239524018,-0.0701438394005688,-1.1482007633529707,1.1482007633529707,True,-1.2123041879776277,1.07201650917649,False,1.1421603485770588
nearest_semantic,0,9,820128927,local_064,1.0780569239524018,-1.122246264648438,-2.2003031886008397,2.2003031886008397,True,-4.6248734363102075,2.3803809070133317,True,3.5026271716617696
global_mean,0,9,820128927,local_064,1.0780569239524018,1.6117296364640519,0.53367271251165,0.53367271251165,True,0.8334068881367436,2.3900523847913604,True,0.7783227483273083
atlas,0,9,820128927,local_069,1.1223452203876905,-0.08852286501423737,-1.2108680854019278,1.2108680854019278,True,-2.8020815283245293,2.6250357982960546,True,2.713558663310292
atlas_no_rejection,0,9,820128927,local_069,1.1223452203876905,-0.08852286501423737,-1.2108680854019278,1.2108680854019278,True,-2.6305407647018098,2.453495034673335,True,2.5420178996875724
semantic_forced,0,9,820128927,local_069,1.1223452203876905,0.4459230864574709,-0.6764221339302195,0.6764221339302195,True,-1.7797873800597426,2.6716335529746846,True,2.2257104665172136
nearest_semantic,0,9,820128927,local_069,1.1223452203876905,0.766750504069857,-0.35559471631783346,0.35559471631783346,True,-6.029806078329004,7.563307086468718,True,6.796556582398861
global_mean,0,9,820128927,local_069,1.1223452203876905,1.6117296364640519,0.4893844160763614,0.4893844160763614,True,0.7440617116935371,2.479397561234567,True,0.8676679247705148
atlas,0,9,820128927,local_074,1.1800834039597277,1.1353168228486183,-0.044766581111109316,0.044766581111109316,True,-1.8927378062067903,4.163371451904027,True,3.0280546290554087
atlas_no_rejection,0,9,820128927,local_074,1.1800834039597277,1.1353168228486183,-0.044766581111109316,0.044766581111109316,True,-1.622952752523642,3.8935863982208785,True,2.7582695753722604
semantic_forced,0,9,820128927,local_074,1.1800834039597277,0.1619954808528771,-1.0180879231068505,1.0180879231068505,True,-0.7275535920901077,1.0515445537958619,False,0.8895490729429848
nearest_semantic,0,9,820128927,local_074,1.1800834039597277,0.6244122394659586,-0.5556711644937691,0.5556711644937691,True,-1.9480523315863936,3.1968768105183107,True,2.572464571052352
global_mean,0,9,820128927,local_074,1.1800834039597277,1.6117296364640519,0.4316462325043242,0.4316462325043242,True,0.6500919701424093,2.5733673027856945,True,0.9616376663216426
atlas,0,9,820128927,local_075,5.2446770648925,4.649715998722993,-0.5949610661695068,0.5949610661695068,True,1.7622900771179117,7.537141920328073,True,2.887425921605081
atlas_no_rejection,0,9,820128927,local_075,5.2446770648925,4.649715998722993,-0.5949610661695068,0.5949610661695068,True,1.9167637723066813,7.382668225139304,True,2.7329522264163115
semantic_forced,0,9,820128927,local_075,5.2446770648925,3.2311679429006235,-2.013509121991876,2.013509121991876,True,1.5926868977609336,4.869648988040313,False,1.6384810451396898
nearest_semantic,0,9,820128927,local_075,5.2446770648925,4.984591654361349,-0.26008541053115053,0.26008541053115053,True,0.6848736992749114,9.284309609447787,True,4.299717955086438
global_mean,0,9,820128927,local_075,5.2446770648925,1.6117296364640519,-3.632947428428448,3.632947428428448,True,0.008025822613255906,3.2154334503148476,False,1.603703813850796
atlas,0,9,820128927,local_077,3.4387797773024618,0.9508283662487117,-2.48795141105375,2.48795141105375,True,-1.3037588055654727,3.2054155380628964,False,2.2545871718141846
atlas_no_rejection,0,9,820128927,local_077,3.4387797773024618,0.9508283662487117,-2.48795141105375,2.48795141105375,True,-1.205289196846893,3.1069459293443167,False,2.156117563095605
semantic_forced,0,9,820128927,local_077,3.4387797773024618,0.4078327507832558,-3.030947026519206,3.030947026519206,True,-1.6564571977519076,2.4721226993184193,False,2.0642899485351633
