scenario_key,scenario_label,policy_key,policy_label,repetitions,seed_batches,bridge_budget,completed_repetitions,budget_completion_rate,mean_selected_bridge_count,planning_inconsistency_rate,evaluation_inconsistency_rate,finite_final_diameter_repetitions,mean_initial_diameter,mean_final_diameter,mean_diameter_shrinkage,shrinkage_fraction,mean_initial_oracle_hull_distance,mean_final_oracle_hull_distance,mean_selected_measurement_absolute_error,mean_selection_error,between_seed_final_diameter_sd,seed_batch,base_seed
moderate,moderate mismatch,random,random bridge,100,1,4,100,1.0,4.0,0.0,0.0,100,3.730879279634865,2.52130104117883,1.209578238456035,0.3242072840733711,0.11706228431285544,0.007129475668822731,0.07782054414086638,,,2,20261113
strong,strong mismatch,causal_greedy,causal-support greedy,100,1,4,100,1.0,4.0,0.0,0.0,100,5.531090174116505,1.8622630727682585,3.6688271013482465,0.6633099417754977,0.6494968555698617,0.018169622317218276,0.0800107789104842,0.004942539899025132,,0,20261111
strong,strong mismatch,causal_greedy,causal-support greedy,100,1,4,100,1.0,4.0,0.0,0.0,100,5.591596543691406,1.8557870137198051,3.7358095299716005,0.6681114241309926,0.6634677023860869,0.019232172451248086,0.07713320894226515,0.004967400795944649,,1,20261112
strong,strong mismatch,causal_greedy,causal-support greedy,100,1,4,100,1.0,4.0,0.0,0.0,100,5.3900049568829775,1.8680007439924666,3.522004212890511,0.6534324626905862,0.6207559754541482,0.022638779918020456,0.07784201703644424,0.005166868905368286,,2,20261113
strong,strong mismatch,semantic_greedy,semantic-only greedy,100,1,4,94,0.94,3.91,0.06,0.0,100,5.531090174116505,2.4706812061409122,3.060408967975593,0.5533102646377375,0.6494968555698617,0.02763851769902413,0.07709234326776512,0.006048514712370949,,0,20261111
strong,strong mismatch,semantic_greedy,semantic-only greedy,100,1,4,94,0.94,3.9,0.07,0.0,100,5.591596543691406,2.479873655099365,3.1117228885920407,0.5564998948471654,0.6634677023860869,0.025465039039210012,0.07782855232160575,0.00604005021366428,,1,20261112
strong,strong mismatch,semantic_greedy,semantic-only greedy,100,1,4,95,0.95,3.87,0.05,0.0,100,5.3900049568829775,2.499096872801049,2.8909080840819286,0.5363460900699675,0.6207559754541482,0.037039133125177204,0.07387839670156489,0.005800695890178009,,2,20261113
strong,strong mismatch,random,random bridge,100,1,4,100,1.0,4.0,0.0,0.0,100,5.531090174116505,2.371279482069016,3.159810692047489,0.5712817170897442,0.6494968555698617,0.028994288059890506,0.07891456286630191,,,0,20261111
strong,strong mismatch,random,random bridge,100,1,4,100,1.0,4.0,0.0,0.0,100,5.591596543691406,2.4373296558486994,3.1542668878427063,0.564108455106876,0.6634677023860869,0.03316209272447787,0.07813530155169804,,,1,20261112
strong,strong mismatch,random,random bridge,100,1,4,100,1.0,4.0,0.0,0.0,100,5.3900049568829775,2.345656927305743,3.0443480295772347,0.5648135862453402,0.6207559754541482,0.031948060957692856,0.07782054414086637,,,2,20261113
severe,severe mismatch,causal_greedy,causal-support greedy,100,1,4,100,1.0,4.0,0.0,0.0,100,6.921149392148919,1.8839824883022553,5.037166903846664,0.7277934080660979,1.0004350445768602,0.028313572022419586,0.08083051340304843,0.004840830761828547,,0,20261111
severe,severe mismatch,causal_greedy,causal-support greedy,100,1,4,100,1.0,4.0,0.0,0.0,100,7.1148357218388405,1.8792702829146433,5.235565438924198,0.7358659628434903,1.02988154568597,0.033899696228428026,0.0767601230279173,0.004732528446265067,,1,20261112
severe,severe mismatch,causal_greedy,causal-support greedy,100,1,4,100,1.0,4.0,0.0,0.0,100,6.790906426343798,1.8682454578116323,4.922660968532166,0.7248901191504874,0.974070192022694,0.03244037431210218,0.07896366649151548,0.005040742500432441,,2,20261113
severe,severe mismatch,semantic_greedy,semantic-only greedy,100,1,4,95,0.95,3.91,0.05,0.0,100,6.921149392148919,2.354429427593937,4.5667199645549825,0.6598210363347006,1.0004350445768602,0.030754078986895528,0.0805516902189201,0.006449468467918327,,0,20261111
severe,severe mismatch,semantic_greedy,semantic-only greedy,100,1,4,98,0.98,3.95,0.03,0.0,100,7.1148357218388405,2.322601142958295,4.792234578880546,0.6735551973703175,1.02988154568597,0.023379804191207394,0.08207124524470581,0.006116004736867792,,1,20261112
severe,severe mismatch,semantic_greedy,semantic-only greedy,100,1,4,97,0.97,3.93,0.03,0.0,100,6.790906426343798,2.3157774814338876,4.47512894490991,0.6589884566145178,0.974070192022694,0.02799255705805714,0.07727672128447884,0.00605556027218577,,2,20261113
severe,severe mismatch,random,random bridge,100,1,4,100,1.0,4.0,0.0,0.0,100,6.921149392148919,2.2974545563261897,4.62369483582273,0.6680530319238114,1.0004350445768602,0.03712303282787619,0.0789145628663019,,,0,20261111
severe,severe mismatch,random,random bridge,100,1,4,100,1.0,4.0,0.0,0.0,100,7.1148357218388405,2.3686102002010094,4.746225521637831,0.667088560747705,1.02988154568597,0.04197508725685114,0.07813530155169802,,,1,20261112
severe,severe mismatch,random,random bridge,100,1,4,100,1.0,4.0,0.0,0.0,100,6.790906426343798,2.284076074526879,4.5068303518169195,0.6636566709760102,0.974070192022694,0.04126301788396657,0.07782054414086638,,,2,20261113
